Date,Player,Active,Team,Type,date,season,player_name,nba_team,contract_type
11/05/25,"Martin, Cody",Yes,Indiana Pacers,10-day contract,2025-11-05,2025-26,"Martin, Cody",Indiana Pacers,10-day contract
11/01/25,"Robinson-Earl, Jeremiah",Yes,Indiana Pacers,Two 10-day contracts (only 1st date is shown),2025-11-01,2025-26,"Robinson-Earl, Jeremiah",Indiana Pacers,Two 10-day contracts (only 1st date is shown)
10/27/25,"Bassey, Charles",,Memphis Grizzlies,10-day contract,2025-10-27,2025-26,"Bassey, Charles",Memphis Grizzlies,10-day contract
04/13/25,"Mobley, Isaiah",,Philadelphia 76ers,10-day contract,2025-04-13,2024-25,"Mobley, Isaiah",Philadelphia 76ers,10-day contract
04/03/25,"Castleton, Colin",,Philadelphia 76ers,10-day contract,2025-04-03,2024-25,"Castleton, Colin",Philadelphia 76ers,10-day contract
04/03/25,"Sims, Jaylen",,Charlotte Hornets,Two 10-day contracts (only 1st date is shown),2025-04-03,2024-25,"Sims, Jaylen",Charlotte Hornets,Two 10-day contracts (only 1st date is shown)
04/03/25,"Kelley, Kylor",,New Orleans Pelicans,Two 10-day contracts (only 1st date is shown),2025-04-03,2024-25,"Kelley, Kylor",New Orleans Pelicans,Two 10-day contracts (only 1st date is shown)
03/26/25,"Swider, Cole",,Toronto Raptors,10-day contract followed by signing for the rest of season,2025-03-26,2024-25,"Swider, Cole",Toronto Raptors,10-day contract followed by signing for the rest of season
03/26/25,"Wheeler, Phillip",,Philadelphia 76ers,10-day contract,2025-03-26,2024-25,"Wheeler, Phillip",Philadelphia 76ers,10-day contract
03/24/25,"Bagley, Marcus",,Philadelphia 76ers,Two 10-day contracts (only 1st date is shown),2025-03-24,2024-25,"Bagley, Marcus",Philadelphia 76ers,Two 10-day contracts (only 1st date is shown)
03/21/25,"Payton, Elfrid",,New Orleans Pelicans,Two 10-day contracts followed by signing for the rest of season,2025-03-21,2024-25,"Payton, Elfrid",New Orleans Pelicans,Two 10-day contracts followed by signing for the rest of season
03/18/25,"Taylor, Terry",,Sacramento Kings,10-day contract,2025-03-18,2024-25,"Taylor, Terry",Sacramento Kings,10-day contract
03/14/25,"Brissett, Oshae",,Philadelphia 76ers,10-day contract,2025-03-14,2024-25,"Brissett, Oshae",Philadelphia 76ers,10-day contract
03/12/25,"Garrett, Marcus",,Charlotte Hornets,10-day contract,2025-03-12,2024-25,"Garrett, Marcus",Charlotte Hornets,10-day contract
03/10/25,"Bamba, Mohamed",,New Orleans Pelicans,10-day contract,2025-03-10,2024-25,"Bamba, Mohamed",New Orleans Pelicans,10-day contract
03/10/25,"Tucker, P.J.",,New York Knicks,Two 10-day contracts followed by signing for the rest of season,2025-03-10,2024-25,"Tucker, P.J.",New York Knicks,Two 10-day contracts followed by signing for the rest of season
03/06/25,"Castleton, Colin",,Toronto Raptors,Two 10-day contracts (only 1st date is shown),2025-03-06,2024-25,"Castleton, Colin",Toronto Raptors,Two 10-day contracts (only 1st date is shown)
03/03/25,"Labissiere, Skal",,Sacramento Kings,10-day contract,2025-03-03,2024-25,"Labissiere, Skal",Sacramento Kings,10-day contract
03/02/25,"Bradley, Tony",,Indiana Pacers,Two 10-day contracts followed by signing for the rest of season,2025-03-02,2024-25,"Bradley, Tony",Indiana Pacers,Two 10-day contracts followed by signing for the rest of season
03/01/25,"Flynn, Malachi",,Charlotte Hornets,10-day contract,2025-03-01,2024-25,"Flynn, Malachi",Charlotte Hornets,10-day contract
03/01/25,"Harris, Kevon",,Atlanta Hawks,10-day contract,2025-03-01,2024-25,"Harris, Kevon",Atlanta Hawks,10-day contract
02/22/25,"McDaniels, Jalen",,Washington Wizards,10-day contract,2025-02-22,2024-25,"McDaniels, Jalen",Washington Wizards,10-day contract
02/21/25,"Stevens, Lamar",,Memphis Grizzlies,Two 10-day contracts followed by signing for the rest of season,2025-02-21,2024-25,"Stevens, Lamar",Memphis Grizzlies,Two 10-day contracts followed by signing for the rest of season
02/20/25,"Springer, Jaden",,Utah Jazz,10-day contract followed by signing for the rest of season,2025-02-20,2024-25,"Springer, Jaden",Utah Jazz,10-day contract followed by signing for the rest of season
02/20/25,"Hayes, Killian",,Brooklyn Nets,10-day contract,2025-02-20,2024-25,"Hayes, Killian",Brooklyn Nets,10-day contract
02/20/25,"Brown, Moses",,Dallas Mavericks,10-day contract,2025-02-20,2024-25,"Brown, Moses",Dallas Mavericks,10-day contract
02/20/25,"Tomlin, Nae'Qwan",,Cleveland Cavaliers,10-day contract,2025-02-20,2024-25,"Tomlin, Nae'Qwan",Cleveland Cavaliers,10-day contract
02/19/25,"Collins, Yuri",,Golden State Warriors,10-day contract,2025-02-19,2024-25,"Collins, Yuri",Golden State Warriors,10-day contract
02/19/25,"Rhoden, Jared",,Toronto Raptors,10-day contract,2025-02-19,2024-25,"Rhoden, Jared",Toronto Raptors,10-day contract
02/19/25,"Knox, Kevin",,Golden State Warriors,Two 10-day contracts followed by signing for the rest of season,2025-02-19,2024-25,"Knox, Kevin",Golden State Warriors,Two 10-day contracts followed by signing for the rest of season
02/17/25,"Stevenson, Erik",,Washington Wizards,10-day contract,2025-02-17,2024-25,"Stevenson, Erik",Washington Wizards,10-day contract
02/11/25,"Roddy, David",,Philadelphia 76ers,10-day contract,2025-02-11,2024-25,"Roddy, David",Philadelphia 76ers,10-day contract
02/11/25,"Okafor, Jahlil",,Indiana Pacers,10-day contract,2025-02-11,2024-25,"Okafor, Jahlil",Indiana Pacers,10-day contract
02/09/25,"Biyombo, Bismack",,San Antonio Spurs,Two 10-day contracts followed by signing for the rest of season,2025-02-09,2024-25,"Biyombo, Bismack",San Antonio Spurs,Two 10-day contracts followed by signing for the rest of season
02/08/25,"Nix, Daishen",,Sacramento Kings,10-day contract,2025-02-08,2024-25,"Nix, Daishen",Sacramento Kings,10-day contract
02/08/25,"Nowell, Jaylen",,Washington Wizards,10-day contract,2025-02-08,2024-25,"Nowell, Jaylen",Washington Wizards,10-day contract
02/07/25,"Payton, Elfrid",,Charlotte Hornets,Two 10-day contracts (only 1st date is shown),2025-02-07,2024-25,"Payton, Elfrid",Charlotte Hornets,Two 10-day contracts (only 1st date is shown)
02/07/25,"Okeke, Chuma",,Philadelphia 76ers,Two 10-day contracts (only 1st date is shown),2025-02-07,2024-25,"Okeke, Chuma",Philadelphia 76ers,Two 10-day contracts (only 1st date is shown)
01/18/25,"Robinson, Orlando",,Toronto Raptors,Two 10-day contracts followed by signing for the rest of season,2025-01-18,2024-25,"Robinson, Orlando",Toronto Raptors,Two 10-day contracts followed by signing for the rest of season
01/10/25,"Carlson, Branden",,Oklahoma City Thunder,Two 10-day contracts (only 1st date is shown),2025-01-10,2024-25,"Carlson, Branden",Oklahoma City Thunder,Two 10-day contracts (only 1st date is shown)
01/08/25,"Omoruyi, Eugene",,Toronto Raptors,10-day contract,2025-01-08,2024-25,"Omoruyi, Eugene",Toronto Raptors,10-day contract
04/09/24,"White, Jack",,Memphis Grizzlies,10-day contract,2024-04-09,2023-24,"White, Jack",Memphis Grizzlies,10-day contract
04/06/24,"Allen, Timmy",,Memphis Grizzlies,10-day contract,2024-04-06,2023-24,"Allen, Timmy",Memphis Grizzlies,10-day contract
