player_name,season_label,season_year,gleague_teams,nba_teams,callup_dates,contract_type,times_called_up
A.J. Lawson,2022-23,2022,['College Park Skyhawks'],"['Minnesota Timberwolves', 'Dallas Mavericks']","['11-15-2022', '12-26-2022']","['Two-Way', 'Two-Way']",2
AJ Lawson,2024-25,2024,['Long Island Nets'],['Raptors 905'],['12-11-2024'],['Two-Way'],1
Adam Flagler,2023-24,2023,['Oklahoma City Blue'],['Oklahoma City Thunder'],['02-11-2024'],['Two-Way'],1
Ade Murkey,2021-22,2021,['Stockton Kings'],['Sacramento Kings'],['12-22-2021'],['10-Day'],1
Admiral Schofield,2021-22,2021,['Lakeland Magic'],['Orlando Magic'],['12-17-2021'],['10-Day'],1
Ahmad Caver,2021-22,2021,['Memphis Hustle'],['Indiana Pacers'],['12-31-2021'],['10-Day'],1
Aleem Ford,2021-22,2021,['Lakeland Magic'],['Orlando Magic'],['12-17-2021'],['10-Day'],1
Alex Fudge,2023-24,2023,['South Bay Lakers'],['Dallas Mavericks'],['03-04-2024'],['Two-Way'],1
Alex Reese,2024-25,2024,['Rip City Remix'],['Philadelphia 76ers'],['02-21-2025'],['Two-Way'],1
Alfonso McKinnie,2021-22,2021,['Mexico City Capitanes'],['Chicago Bulls'],['12-10-2021'],['10-Day'],1
Alize Johnson,2020-21,2021,['Raptors 905'],['Brooklyn Nets'],['03-22-2021'],['10-Day'],1
Alize Johnson,2022-23,2022,['Austin Spurs'],['San Antonio Spurs'],['11-29-2022'],['Standard'],1
Alondes Williams,2023-24,2023,['Sioux Falls Skyforce'],['Miami Heat'],['02-09-2024'],['Two-Way'],1
Amida Brimah,2020-21,2021,['Fort Wayne Mad Ants'],['Indiana Pacers'],['04-23-2021'],['Two-Way'],1
Andrew Funk,2023-24,2023,['Grand Rapids Gold'],['Chicago Bulls'],['02-26-2024'],['Two-Way'],1
Anthony Lamb,2020-21,2021,['Rio Grande Valley Vipers'],['Houston Rockets'],['03-08-2021'],['Two-Way'],1
Anthony Lamb,2021-22,2021,['Rio Grande Valley Vipers'],"['San Antonio Spurs', 'Houston Rockets']","['01-06-2022', '03-23-2022']","['10-Day', 'Two-Way']",2
Anzejs Pasecniks,2019-20,2019,['Capital City Go-Go'],['Washington Wizards'],['12-18-2019'],['Two-Way'],1
Aric Holman,2021-22,2021,['Austin Spurs'],['Miami Heat'],['12-30-2021'],['10-Day'],1
Armoni Brooks,2020-21,2021,['Rio Grande Valley Vipers'],['Houston Rockets'],['04-05-2021'],['Two-Way'],1
Armoni Brooks,2021-22,2021,['College Park Skyhawks'],['Toronto Raptors'],['03-07-2022'],['10-Day'],1
Ashton Hagans,2023-24,2023,['Rip City Remix'],['Portland Trail Blazers'],"['02-08-2024', '02-24-2024']","['10-Day', 'Two-Way']",2
Axel Toupane,2020-21,2021,['Santa Cruz Warriors'],['Milwaukee Bucks'],['03-14-2021'],['Two-Way'],1
B.J. Johnson,2019-20,2019,['Lakeland Magic'],['Orlando Magic'],['11-05-2019'],['Two-Way'],1
B.J. Johnson,2021-22,2021,['Lakeland Magic'],['Orlando Magic'],['12-17-2021'],['10-Day'],1
Boo Buie III,2024-25,2024,['Westchester Knicks'],['New York Knicks'],['11-05-2024'],['Two-Way'],1
Branden Carlson,2024-25,2024,['Raptors 905'],['Oklahoma City Thunder'],['11-16-2024'],['Standard'],1
Brandon Goodwin,2021-22,2021,['Westchester Knicks'],['Cleveland Cavaliers'],['12-31-2021'],['10-Day'],1
Brandon Knight,2021-22,2021,['Sioux Falls Skyforce'],['Dallas Mavericks'],"['12-23-2021', '03-29-2022']","['10-Day', '10-Day']",2
Brandon Williams,2021-22,2021,['Westchester Knicks'],['Portland Trail Blazers'],"['12-26-2021', '02-22-2022']","['10-Day', 'Two-Way']",2
Brandon Williams,2023-24,2023,['Osceola Magic'],['Orlando Magic'],['12-28-2023'],['Two-Way'],1
Braxton Key,2021-22,2021,['Delaware Blue Coats'],"['Philadelphia 76ers', 'Detroit Pistons']","['01-05-2022', '03-24-2022']","['10-Day', '10-Day']",2
Braxton Key,2024-25,2024,['San Diego Clippers'],['Golden State Warriors'],['03-05-2025'],['Two-Way'],1
Brodric Thomas,2020-21,2021,['Rio Grande Valley Vipers'],['Cleveland Cavaliers'],['02-24-2021'],['Two-Way'],1
Buddy Boeheim,2023-24,2023,['Motor City Cruise'],['Detroit Pistons'],['02-23-2024'],['Two-Way'],1
C.J. Miles,2021-22,2021,['G League Ignite'],['Boston Celtics'],['12-20-2021'],['10-Day'],1
Caleb Homesley,2020-21,2021,['Capital City Go-Go'],['Washington Wizards'],['05-15-2021'],['Standard'],1
Cam Reynolds,2020-21,2021,['Austin Spurs'],"['San Antonio Spurs', 'Houston Rockets']","['03-26-2021', '05-14-2021']","['10-Day', '10-Day']",2
Cameron McGriff,2021-22,2021,['Greensboro Swarm'],['Portland Trail Blazers'],['12-26-2021'],['10-Day'],1
Cameron Oliver,2021-22,2021,['South Bay Lakers'],['Atlanta Hawks'],['12-28-2021'],['10-Day'],1
