player_name,gleague_team,nba_team,callup_date,contract_type,season_label,season_year
A.J. Lawson,College Park Skyhawks,Minnesota Timberwolves,2022-11-15,Two-Way,2022-23,2022
A.J. Lawson,College Park Skyhawks,Dallas Mavericks,2022-12-26,Two-Way,2022-23,2022
AJ Lawson,Long Island Nets,Raptors 905,2024-12-11,Two-Way,2024-25,2024
Adam Flagler,Oklahoma City Blue,Oklahoma City Thunder,2024-02-11,Two-Way,2023-24,2023
Ade Murkey,Stockton Kings,Sacramento Kings,2021-12-22,10-Day,2021-22,2021
Admiral Schofield,Lakeland Magic,Orlando Magic,2021-12-17,10-Day,2021-22,2021
Ahmad Caver,Memphis Hustle,Indiana Pacers,2021-12-31,10-Day,2021-22,2021
Aleem Ford,Lakeland Magic,Orlando Magic,2021-12-17,10-Day,2021-22,2021
Alex Fudge,South Bay Lakers,Dallas Mavericks,2024-03-04,Two-Way,2023-24,2023
Alex Reese,Rip City Remix,Philadelphia 76ers,2025-02-21,Two-Way,2024-25,2024
Alfonso McKinnie,Mexico City Capitanes,Chicago Bulls,2021-12-10,10-Day,2021-22,2021
Alize Johnson,Raptors 905,Brooklyn Nets,2021-03-22,10-Day,2020-21,2021
Alize Johnson,Austin Spurs,San Antonio Spurs,2022-11-29,Standard,2022-23,2022
Alondes Williams,Sioux Falls Skyforce,Miami Heat,2024-02-09,Two-Way,2023-24,2023
Amida Brimah,Fort Wayne Mad Ants,Indiana Pacers,2021-04-23,Two-Way,2020-21,2021
Andrew Funk,Grand Rapids Gold,Chicago Bulls,2024-02-26,Two-Way,2023-24,2023
Anthony Lamb,Rio Grande Valley Vipers,Houston Rockets,2021-03-08,Two-Way,2020-21,2021
Anthony Lamb,Rio Grande Valley Vipers,San Antonio Spurs,2022-01-06,10-Day,2021-22,2021
Anthony Lamb,Rio Grande Valley Vipers,Houston Rockets,2022-03-23,Two-Way,2021-22,2021
Anzejs Pasecniks,Capital City Go-Go,Washington Wizards,2019-12-18,Two-Way,2019-20,2019
Aric Holman,Austin Spurs,Miami Heat,2021-12-30,10-Day,2021-22,2021
Armoni Brooks,Rio Grande Valley Vipers,Houston Rockets,2021-04-05,Two-Way,2020-21,2021
Armoni Brooks,College Park Skyhawks,Toronto Raptors,2022-03-07,10-Day,2021-22,2021
Ashton Hagans,Rip City Remix,Portland Trail Blazers,2024-02-08,10-Day,2023-24,2023
Ashton Hagans,Rip City Remix,Portland Trail Blazers,2024-02-24,Two-Way,2023-24,2023
Axel Toupane,Santa Cruz Warriors,Milwaukee Bucks,2021-03-14,Two-Way,2020-21,2021
B.J. Johnson,Lakeland Magic,Orlando Magic,2019-11-05,Two-Way,2019-20,2019
B.J. Johnson,Lakeland Magic,Orlando Magic,2021-12-17,10-Day,2021-22,2021
Boo Buie III,Westchester Knicks,New York Knicks,2024-11-05,Two-Way,2024-25,2024
Branden Carlson,Raptors 905,Oklahoma City Thunder,2024-11-16,Standard,2024-25,2024
Brandon Goodwin,Westchester Knicks,Cleveland Cavaliers,2021-12-31,10-Day,2021-22,2021
Brandon Knight,Sioux Falls Skyforce,Dallas Mavericks,2021-12-23,10-Day,2021-22,2021
