player_name,gleague_team,nba_team,callup_date,contract_type,season_label,season_year
Yogi Ferrell,Salt Lake City Stars,Cleveland Cavaliers,2021-01-11,10-Day,2020-21,2021
Rayjon Tucker,Agua Caliente Clippers,Philadelphia 76ers,2021-01-22,Two-Way,2020-21,2021
Jordan Bell,Capital City Go-Go,Washington Wizards,2021-01-23,10-Day,2020-21,2021
Norvel Pelle,Canton Charge,Brooklyn Nets,2021-01-28,Standard,2020-21,2021
Frank Mason III,Delaware Blue Coats,Orlando Magic,2021-02-03,Two-Way,2020-21,2021
Ray Spalding,Rio Grande Valley Vipers,Houston Rockets,2021-02-12,Two-Way,2020-21,2021
Chasson Randle,Oklahoma City Blue,Orlando Magic,2021-02-15,Two-Way,2020-21,2021
Justin Patton,Westchester Knicks,Houston Rockets,2021-02-19,Two-Way,2020-21,2021
Tyler Cook,Iowa Wolves,Brooklyn Nets,2021-02-24,10-Day,2020-21,2021
Brodric Thomas,Rio Grande Valley Vipers,Cleveland Cavaliers,2021-02-24,Two-Way,2020-21,2021
Norvel Pelle,Canton Charge,Sacramento Kings,2021-02-25,10-Day,2020-21,2021
Donta Hall,G League Ignite,Toronto Raptors,2021-02-26,10-Day,2020-21,2021
Anthony Lamb,Rio Grande Valley Vipers,Houston Rockets,2021-03-08,Two-Way,2020-21,2021
Henry Ellenson,Raptors 905,Toronto Raptors,2021-03-10,10-Day,2020-21,2021
Axel Toupane,Santa Cruz Warriors,Milwaukee Bucks,2021-03-14,Two-Way,2020-21,2021
Tyler Cook,Iowa Wolves,Detroit Pistons,2021-03-18,10-Day,2020-21,2021
Alize Johnson,Raptors 905,Brooklyn Nets,2021-03-22,10-Day,2020-21,2021
Cam Reynolds,Austin Spurs,San Antonio Spurs,2021-03-26,10-Day,2020-21,2021
Oshae Brissett,Fort Wayne Mad Ants,Indiana Pacers,2021-04-01,10-Day,2020-21,2021
Norvel Pelle,Canton Charge,New York Knicks,2021-04-02,10-Day,2020-21,2021
Armoni Brooks,Rio Grande Valley Vipers,Houston Rockets,2021-04-05,Two-Way,2020-21,2021
Jaylen Hoard,Oklahoma City Blue,Oklahoma City Thunder,2021-04-05,Two-Way,2020-21,2021
Justin Robinson,Delaware Blue Coats,Oklahoma City Thunder,2021-04-05,10-Day,2020-21,2021
Devin Cannady,Lakeland Magic,Orlando Magic,2021-04-06,10-Day,2020-21,2021
Gary Payton II,Raptors 905,Golden State Warriors,2021-04-08,10-Day,2020-21,2021
Freddie Gillespie,Memphis Hustle,Toronto Raptors,2021-04-08,10-Day,2020-21,2021
Malik Fitts,Agua Caliente Clippers,Los Angeles Clippers,2021-04-09,10-Day,2020-21,2021
Robert Franks,Lakeland Magic,Orlando Magic,2021-04-12,10-Day,2020-21,2021
Donta Hall,G League Ignite,Orlando Magic,2021-04-13,10-Day,2020-21,2021
Jordan Bell,Capital City Go-Go,Washington Wizards,2021-04-14,10-Day,2020-21,2021
Yogi Ferrell,Salt Lake City Stars,Los Angeles Clippers,2021-04-19,10-Day,2020-21,2021
Amida Brimah,Fort Wayne Mad Ants,Indiana Pacers,2021-04-23,Two-Way,2020-21,2021
Myles Powell,Westchester Knicks,New York Knicks,2021-04-23,Two-Way,2020-21,2021
Charlie Brown Jr.,Iowa Wolves,Oklahoma City Thunder,2021-04-25,10-Day,2020-21,2021
Jeremiah Martin,Long Island Nets,Cleveland Cavaliers,2021-04-28,Two-Way,2020-21,2021
Louis King,Westchester Knicks,Sacramento Kings,2021-04-30,Two-Way,2020-21,2021
Khyri Thomas,Austin Spurs,Houston Rockets,2021-05-07,10-Day,2020-21,2021
Jordan Bell,Erie BayHawks,Golden State Warriors,2021-05-13,Two-Way,2020-21,2021
Cam Reynolds,Austin Spurs,Houston Rockets,2021-05-14,10-Day,2020-21,2021
Omer Yurtseven,Oklahoma City Blue,Miami Heat,2021-05-14,Standard,2020-21,2021
Caleb Homesley,Capital City Go-Go,Washington Wizards,2021-05-15,Standard,2020-21,2021
