season_id,season_type,team_id,player_id,player_name,position,total_games_played,total_games_started,total_minutes,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_flagrant_fouls,total_ejections,total_foulouts,total_tech_fouls_non_unsportsmanlike,total_true_shooting_att,total_true_shooting_pct,total_efficiency,total_field_goals_at_rim_made,total_field_goals_at_rim_att,total_field_goals_at_rim_pct,total_field_goals_at_midrange_made,total_field_goals_at_midrange_att,total_field_goals_at_midrange_pct,total_usage_pct,avg_minutes,avg_points,avg_off_rebounds,avg_def_rebounds,avg_rebounds,avg_assists,avg_steals,avg_blocks,avg_turnovers,avg_personal_fouls,avg_flagrant_fouls,avg_blocked_att,avg_field_goals_made,avg_field_goals_att,avg_three_points_made,avg_three_points_att,avg_free_throws_made,avg_free_throws_att,avg_two_points_made,avg_two_points_att,avg_efficiency,avg_true_shooting_att,games_played,minutes,points,assists,rebounds,steals,blocks,turnovers,fgm,fga,tpm,tpa,ftm,fta,year,callup,contract_type
2024,REG,2d0a4879-33d3-4af9-a12f-8081362ff548,175b1d50-ef8d-4d65-a46a-864d73342aab,A.J. Lawson,G,23,21,740.0,152,351,0.433,97,206,0.471,55,145,0.379,26,46,71,0.648,17,91,108,55,46,1.2,26,6,61,2,437,0,0,1,0.0,382.24,0.572,362,78,135,0.578,2,7,0.286,25.03,32.2,19.0,0.74,3.96,4.7,2.4,1.13,0.26,2.0,2.65,0.0,1.13,6.61,15.26,2.39,6.3,2.0,3.09,4.22,8.96,15.74,16.62,23,740.0,437,55,108,26,6,46,152,351,55,145,46,71,2024,False,None
2024,REG,1adf6996-af2e-41a2-b158-174b0e4c5a1d,2cd254c6-37a4-4ac6-a343-093b1eaf282f,A.J. Reeves,G,3,0,37.0,6,10,0.6,2,2,1.0,4,8,0.5,0,1,2,0.5,1,3,4,3,1,3.0,0,1,2,0,17,0,0,0,0.0,10.88,0.781,19,0,0,0.0,1,1,1.0,13.41,12.3,5.7,0.33,1.0,1.33,1.0,0.0,0.33,0.33,0.67,0.0,0.0,2.0,3.33,1.33,2.67,0.33,0.67,0.67,0.67,6.33,3.63,3,37.0,17,3,4,0,1,1,6,10,4,8,1,2,2024,False,None
2024,REG,a565062b-f8be-4a7f-b1f1-502057f3b365,2cd254c6-37a4-4ac6-a343-093b1eaf282f,A.J. Reeves,G,17,2,223.0,34,87,0.391,9,20,0.45,25,67,0.373,4,7,8,0.875,6,28,34,17,6,2.83,4,0,22,0,105,0,0,0,0.0,90.52,0.58,100,4,6,0.667,1,3,0.333,19.65,13.1,6.2,0.35,1.65,2.0,1.0,0.24,0.0,0.35,1.29,0.0,0.24,2.0,5.12,1.47,3.94,0.41,0.47,0.53,1.18,5.88,5.32,17,223.0,105,17,34,4,0,6,34,87,25,67,7,8,2024,False,None
2024,REG,cefdc308-b8ea-441e-a698-6ef3891cec35,3a258e45-3005-429e-a544-6bbc097c0640,AJ Johnson,G,5,5,149.0,29,64,0.453,16,33,0.485,13,31,0.419,6,8,9,0.889,2,15,17,23,10,2.3,6,1,18,0,82,0,0,0,0.0,67.96,0.603,83,8,14,0.571,1,3,0.333,23.49,29.8,16.4,0.4,3.0,3.4,4.6,1.2,0.2,2.0,3.6,0.0,1.2,5.8,12.8,2.6,6.2,1.6,1.8,3.2,6.6,16.6,13.59,5,149.0,82,23,17,6,1,10,29,64,13,31,8,9,2024,False,None
2024,REG,9ea5b326-cd0b-4bc2-bcec-dc174cb22ae9,3a258e45-3005-429e-a544-6bbc097c0640,AJ Johnson,G,15,13,422.0,73,168,0.435,47,107,0.439,26,61,0.426,18,14,20,0.7,9,49,58,53,43,1.23,12,3,34,1,198,0,0,0,0.0,176.8,0.56,180,38,68,0.559,1,10,0.1,23.66,28.1,13.2,0.6,3.27,3.87,3.5,0.8,0.2,2.87,2.27,0.0,1.2,4.87,11.2,1.73,4.07,0.93,1.33,3.13,7.13,12.0,11.79,15,422.0,198,53,58,12,3,43,73,168,26,61,14,20,2024,False,None
2024,REG,452c9579-2fea-4534-8d18-5c701c8912db,9567d168-c903-4378-8f32-e0ee873a048d,Aaron Estrada,G,17,1,339.0,63,140,0.45,41,72,0.569,22,68,0.324,6,6,8,0.75,16,38,54,62,36,1.72,11,2,16,0,157,0,0,0,0.0,143.52,0.547,171,18,20,0.9,4,16,0.25,22.59,19.9,9.2,0.94,2.24,3.18,3.6,0.65,0.12,2.12,0.94,0.0,0.35,3.71,8.24,1.29,4.0,0.35,0.47,2.41,4.24,10.06,8.44,17,339.0,157,62,54,11,2,36,63,140,22,68,6,8,2024,False,None
2024,REG,4dc54726-0738-413b-98b1-5b90dfe99aae,0b7cb454-e3e2-4ab2-ad4c-65e0f902d59c,Abdullah Ahmed,C,15,8,274.0,28,62,0.452,28,59,0.475,0,3,0.0,7,2,8,0.25,34,49,83,13,15,0.87,2,32,31,0,60,0,0,0,0.0,65.52,0.458,135,23,43,0.535,0,2,0.0,12.15,18.3,4.0,2.27,3.27,5.53,0.9,0.13,2.13,1.0,2.07,0.0,0.47,1.87,4.13,0.0,0.2,0.13,0.53,1.87,3.93,9.0,4.37,15,274.0,60,13,83,2,32,15,28,62,0,3,2,8,2024,False,None
2024,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,5dbccdb7-ed1d-4efa-ab54-f59b2a1276f2,Adam Flagler,G,1,1,28.0,10,20,0.5,2,9,0.222,8,11,0.727,0,2,2,1.0,2,5,7,5,1,5.0,1,0,3,0,31,0,0,0,0.0,20.88,0.742,33,2,4,0.5,0,1,0.0,33.83,28.0,31.0,2.0,5.0,7.0,5.0,1.0,0.0,1.0,3.0,0.0,0.0,10.0,20.0,8.0,11.0,2.0,2.0,2.0,9.0,33.0,20.88,1,28.0,31,5,7,1,0,1,10,20,8,11,2,2,2024,False,None
2024,REG,34f6b263-8f03-481a-9e59-0ce0bcd86480,90a3686f-af37-45db-ba2a-dc65cd95e4e8,Adama Sanogo,F,11,11,299.0,75,143,0.524,70,131,0.534,5,12,0.417,15,15,20,0.75,52,58,110,16,21,0.76,8,12,33,3,178,0,0,1,0.0,151.8,0.586,230,54,93,0.581,3,7,0.429,25.13,27.2,16.2,4.73,5.27,10.0,1.5,0.73,1.09,1.91,3.0,0.0,1.36,6.82,13.0,0.45,1.09,1.36,1.82,6.36,11.91,20.91,13.8,11,299.0,178,16,110,8,12,21,75,143,5,12,15,20,2024,False,None
2024,REG,9ea5b326-cd0b-4bc2-bcec-dc174cb22ae9,a226ac93-f81e-4c70-b699-5a47a15eb115,Ade Murkey,F,21,6,431.0,54,148,0.365,27,68,0.397,27,80,0.338,9,11,15,0.733,12,34,46,30,19,1.58,22,12,41,0,156,0,0,1,0.0,154.6,0.505,149,17,28,0.607,2,4,0.5,18.29,20.5,7.4,0.57,1.62,2.19,1.4,1.05,0.57,0.9,1.95,0.0,0.43,2.57,7.05,1.29,3.81,0.52,0.71,1.29,3.24,7.1,7.36,21,431.0,156,30,46,22,12,19,54,148,27,80,11,15,2024,False,None
