Feature,Correlation,Abs_Correlation
avg_efficiency,0.19242708360267624,0.19242708360267624
total_efficiency,0.1880363292290787,0.1880363292290787
total_games_started,0.18120321290234603,0.18120321290234603
total_two_points_made,0.18083945433665952,0.18083945433665952
total_field_goals_made,0.17978796140561493,0.17978796140561493
fgm,0.17978796140561493,0.17978796140561493
avg_field_goals_made,0.17926673324783468,0.17926673324783468
total_points,0.17788153783337732,0.17788153783337732
points,0.17788153783337732,0.17788153783337732
total_two_points_att,0.17517923167869717,0.17517923167869717
avg_points,0.1748344352104116,0.1748344352104116
total_field_goals_at_rim_made,0.16583903625094026,0.16583903625094026
total_defensive_rebounds,0.16453101777520937,0.16453101777520937
total_free_throws_made,0.16368823431284876,0.16368823431284876
ftm,0.16368823431284876,0.16368823431284876
total_true_shooting_att,0.1636385504097367,0.1636385504097367
total_free_throws_att,0.16325583546185254,0.16325583546185254
fta,0.16325583546185254,0.16325583546185254
avg_two_points_made,0.1625451255646853,0.1625451255646853
fga,0.16161489991035877,0.16161489991035877
total_field_goals_att,0.16161489991035877,0.16161489991035877
avg_two_points_att,0.16048537536467108,0.16048537536467108
avg_def_rebounds,0.1600145758978252,0.1600145758978252
avg_minutes,0.15984815850906395,0.15984815850906395
avg_true_shooting_att,0.15915389984106598,0.15915389984106598
avg_field_goals_att,0.15878336352676556,0.15878336352676556
total_field_goals_at_rim_att,0.15689540978197355,0.15689540978197355
avg_rebounds,0.1551190286530282,0.1551190286530282
total_rebounds,0.1547425842048222,0.1547425842048222
rebounds,0.1547425842048222,0.1547425842048222
