player_name,date,nba_team,season,contract_type
Eli Ndiaye,2025-07-01,atlanta hawks,2025-26,two-way signing
Jacob Toppin,2025-07-01,atlanta hawks,2025-26,two-way signing
Caleb Houston,2025-07-01,atlanta hawks,2025-26,two-way signing
Max Shulga,2025-07-01,boston celtics,2025-26,two-way signing
Amari Williams,2025-07-01,boston celtics,2025-26,two-way signing
Ron Harper Jr.,2025-07-01,boston celtics,2025-26,two-way signing
Tyson Etienne,2025-07-01,brooklyn nets,2025-26,two-way signing
E.J. Liddell,2025-07-01,brooklyn nets,2025-26,two-way signing
KJ Simpson,2025-07-01,charlotte hornets,2025-26,two-way signing
Drew Peterson,2025-07-01,charlotte hornets,2025-26,two-way signing
Antonio Reeves,2025-07-01,charlotte hornets,2025-26,two-way signing
Emanuel Miller,2025-07-01,chicago bulls,2025-26,two-way signing
Lachlan Olbrich,2025-07-01,chicago bulls,2025-26,two-way signing
Trentyn Flowers,2025-07-01,chicago bulls,2025-26,two-way signing
Nae’Qwan Tomlin,2025-07-01,cleveland cavaliers,2025-26,two-way signing
Luke Travers,2025-07-01,cleveland cavaliers,2025-26,two-way signing
Chris Livingston,2025-07-01,cleveland cavaliers,2025-26,two-way signing
Ryan Nembhard,2025-07-01,dallas mavericks,2025-26,two-way signing
Miles Kelly,2025-07-01,dallas mavericks,2025-26,two-way signing
Moussa Cisse,2025-07-01,dallas mavericks,2025-26,two-way signing
Tamar Bates,2025-07-01,denver nuggets,2025-26,two-way signing
Spencer Jones,2025-07-01,denver nuggets,2025-26,two-way signing
Curtis Jones,2025-07-01,denver nuggets,2025-26,two-way signing
Tolu Smith,2025-07-01,detroit pistons,2025-26,two-way signing
Daniss Jenkins,2025-07-01,detroit pistons,2025-26,two-way signing
Wendell Moore Jr.,2025-07-01,detroit pistons,2025-26,two-way signing
Jackson Rowe,2025-07-01,golden state warriors,2025-26,two-way signing
Alex Toohey,2025-07-01,golden state warriors,2025-26,two-way signing
Pat Spencer,2025-07-01,golden state warriors,2025-26,two-way signing
Kevon Harris,2025-07-01,houston rockets,2025-26,two-way signing
Isaiah Crawford,2025-07-01,houston rockets,2025-26,two-way signing
