season_id,season_type,team_id,player_id,full_name,position,total_games_played,total_games_started,total_minutes,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_flagrant_fouls,total_ejections,total_foulouts,total_tech_fouls_non_unsportsmanlike,total_true_shooting_att,total_true_shooting_pct,total_efficiency,total_field_goals_at_rim_made,total_field_goals_at_rim_att,total_field_goals_at_rim_pct,total_field_goals_at_midrange_made,total_field_goals_at_midrange_att,total_field_goals_at_midrange_pct,total_usage_pct,avg_minutes,avg_points,avg_off_rebounds,avg_def_rebounds,avg_rebounds,avg_assists,avg_steals,avg_blocks,avg_turnovers,avg_personal_fouls,avg_flagrant_fouls,avg_blocked_att,avg_field_goals_made,avg_field_goals_att,avg_three_points_made,avg_three_points_att,avg_free_throws_made,avg_free_throws_att,avg_two_points_made,avg_two_points_att,avg_efficiency,avg_true_shooting_att,games_played,minutes,points,assists,rebounds,steals,blocks,turnovers,fgm,fga,tpm,tpa,ftm,fta
2024,REG,2d0a4879-33d3-4af9-a12f-8081362ff548,0e931cf0-f64d-4a48-9c4c-08aebceeb23a,Charlie Brown,G,21,8,563.0,86,206,0.417,52,98,0.531,34,108,0.315,10,33,41,0.805,21,56,77,47,36,1.31,37,14,60,3,262,0,0,1,0,224.04,0.585,273,43,62,0.694,2,8,0.25,19.98,26.8,12.5,1.0,2.67,3.67,2.2,1.76,0.67,1.71,2.86,0.0,0.48,4.1,9.81,1.62,5.14,1.57,1.95,2.48,4.67,13.0,10.67,21,563.0,262,47,77,37,14,36,86,206,34,108,33,41
2024,REG,2d0a4879-33d3-4af9-a12f-8081362ff548,12f0c083-188d-4b44-8288-d0453d5528a9,Loudon Love,C,5,0,17.0,0,3,0.0,0,3,0.0,0,0,0.0,2,1,1,1.0,1,2,3,0,2,0.0,1,0,2,0,2,0,0,0,0,3.44,0.291,1,0,2,0.0,0,0,0.0,13.84,3.4,0.4,0.2,0.4,0.6,0.0,0.2,0.0,0.4,0.4,0.0,0.4,0.0,0.6,0.0,0.0,0.2,0.2,0.0,0.6,0.2,0.69,5,17.0,2,0,3,1,0,2,0,3,0,0,1,1
2024,REG,2d0a4879-33d3-4af9-a12f-8081362ff548,175b1d50-ef8d-4d65-a46a-864d73342aab,A.J. Lawson,G,23,21,740.0,152,351,0.433,97,206,0.471,55,145,0.379,26,46,71,0.648,17,91,108,55,46,1.2,26,6,61,2,437,0,0,1,0,382.24,0.572,362,78,135,0.578,2,7,0.286,25.03,32.2,19.0,0.74,3.96,4.7,2.4,1.13,0.26,2.0,2.65,0.0,1.13,6.61,15.26,2.39,6.3,2.0,3.09,4.22,8.96,15.74,16.62,23,740.0,437,55,108,26,6,46,152,351,55,145,46,71
2024,REG,2d0a4879-33d3-4af9-a12f-8081362ff548,1a5d3d9d-1810-4558-b7cb-29d092a4d82b,Orlando Robinson,C,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2024,REG,2d0a4879-33d3-4af9-a12f-8081362ff548,2662d6ad-d51f-49d2-bbbf-1da2b4b50f5d,Dylan Disu,C,2,1,33.0,4,10,0.4,2,3,0.667,2,7,0.286,0,0,0,0.0,1,4,5,2,3,0.67,2,2,5,0,10,0,0,0,0,10.0,0.5,12,1,2,0.5,0,0,0.0,17.04,16.5,5.0,0.5,2.0,2.5,1.0,1.0,1.0,1.5,2.5,0.0,0.0,2.0,5.0,1.0,3.5,0.0,0.0,1.0,1.5,6.0,5.0,2,33.0,10,2,5,2,2,3,4,10,2,7,0,0
2024,REG,2d0a4879-33d3-4af9-a12f-8081362ff548,4fc2c10c-1044-42e7-a4c9-22b4f453a76f,Tyreke Key,G,26,4,449.0,50,100,0.5,33,55,0.6,17,45,0.378,4,19,26,0.731,12,33,45,27,10,2.7,17,3,48,2,147,0,0,0,0,111.44,0.66,172,24,30,0.8,2,6,0.333,11.7,17.3,5.7,0.46,1.27,1.73,1.0,0.65,0.12,0.38,1.85,0.0,0.15,1.92,3.85,0.65,1.73,0.73,1.0,1.27,2.12,6.62,4.29,26,449.0,147,27,45,17,3,10,50,100,17,45,19,26
2024,REG,2d0a4879-33d3-4af9-a12f-8081362ff548,50d2e5d5-17b3-4e7d-8f7c-17ae02c9a5a1,Quinn Slazinski,F,3,0,19.0,1,3,0.333,0,2,0.0,1,1,1.0,1,0,0,0.0,1,2,3,2,1,2.0,1,1,6,0,3,0,0,0,0,3.0,0.5,7,0,2,0.0,0,0,0.0,9.11,6.3,1.0,0.33,0.67,1.0,0.7,0.33,0.33,0.33,2.0,0.0,0.33,0.33,1.0,0.33,0.33,0.0,0.0,0.0,0.67,2.33,1.0,3,19.0,3,2,3,1,1,1,1,3,1,1,0,0
2024,REG,2d0a4879-33d3-4af9-a12f-8081362ff548,5432de37-f600-4177-b814-44bd82f99638,Ulrich Chomche,F,19,1,469.0,67,121,0.554,65,117,0.556,2,4,0.5,15,9,19,0.474,64,101,165,25,33,0.76,6,56,54,1,152,0,0,0,0,129.36,0.588,307,43,74,0.581,3,5,0.6,14.97,24.7,8.0,3.37,5.32,8.68,1.3,0.32,2.95,1.74,2.84,0.0,0.79,3.53,6.37,0.11,0.21,0.47,1.0,3.42,6.16,16.16,6.81,19,469.0,152,25,165,6,56,33,67,121,2,4,9,19
2024,REG,2d0a4879-33d3-4af9-a12f-8081362ff548,5cbe8c5f-59f0-45ce-a1c9-f6004c80da5d,Jared Rhoden,G,26,17,818.0,192,379,0.507,137,239,0.573,55,140,0.393,22,35,54,0.648,25,154,179,91,57,1.6,34,16,68,1,494,1,0,0,0,402.76,0.613,551,95,122,0.779,10,34,0.294,24.31,31.5,19.0,0.96,5.92,6.88,3.5,1.31,0.62,2.19,2.62,0.04,0.85,7.38,14.58,2.12,5.38,1.35,2.08,5.27,9.19,21.19,15.49,26,818.0,494,91,179,34,16,57,192,379,55,140,35,54
2024,REG,2d0a4879-33d3-4af9-a12f-8081362ff548,8aaf7a44-a5a9-4f15-9499-243e61683d83,Quincy Guerrier,G-F,28,11,638.0,98,217,0.452,76,144,0.528,22,73,0.301,24,27,39,0.692,35,106,141,30,30,1.0,20,10,55,1,267,0,0,0,0,234.16,0.57,307,60,111,0.541,1,5,0.2,17.91,22.8,9.5,1.25,3.79,5.04,1.1,0.71,0.36,1.07,1.96,0.0,0.86,3.5,7.75,0.79,2.61,0.96,1.39,2.71,5.14,10.96,8.36,28,638.0,267,30,141,20,10,30,98,217,22,73,27,39
