player_id,full_name,position,height,weight,birthdate,college
0039617f-5e20-4c83-a324-da7321514927,Viktor Lakhin,C,83,247.0,2001-07-30,Clemson
01830f03-cbe5-4cc9-8696-03df11438921,Jazian Gortman,G,74,184.0,2003-03-14,
28517bbb-e854-4177-9cb0-b3d60e27b658,Payton Sandfort,F,79,215.0,2002-07-12,Iowa
3e0258fd-74cd-4150-a990-ad10ab569ab8,Cameron Brown,F,78,225.0,2001-05-10,
53597494-78f8-44e5-afe0-1059670f941b,Brooks Barnhizer,G,77,230.0,2002-03-02,Northwestern
b2469fa3-64e1-48c7-b620-eca1740dfd6a,Chris Youngblood,G,76,221.0,2002-02-09,Alabama
b5e38bf2-0ff7-4d5d-b5f3-b44ff792a0ea,Anthony Pritchard,G,74,185.0,2000-01-01,Central Michigan
b7d49d29-5243-48a1-8dae-246a9e221b24,Kendall Munson,F,80,235.0,2000-01-01,Jacksonville
c44907d4-1082-4bbf-8883-47cbdfff4dcd,Malevy Leons,F,81,210.0,1999-09-23,Bradley
dae289ed-2be3-40fb-83bd-5071b6f677b1,Branden Carlson,C,84,220.0,1999-06-14,Utah
e4a5c081-0527-41af-bace-caa3ffd94c45,Dariq Whitehead,F,78,220.0,2004-08-01,Duke
ee9ca067-45f4-4a32-99fd-a1b35c322725,Zack Austin,G,77,216.0,2001-08-11,Pittsburgh
f97a592a-ac33-488d-9df4-909899fa5e79,Buddy Boeheim,F,77,205.0,1999-11-11,Syracuse
13fd950f-cdcc-4870-aae4-e4ed6d9dd28a,Augustas Marčiulionis,G,76,200.0,2002-03-21,Saint Mary's
32910f1d-edfc-4ecc-b711-6aeb07bd2586,Nick Smith Jr.,G,74,185.0,2004-04-18,Arkansas
32c03673-0dc7-42a3-8371-9769884a7276,R.J. Davis,G,72,180.0,2001-10-21,North Carolina
3330fea9-e10f-4963-bf1b-8090e0a6e4a1,Anton Watson,F,80,225.0,2000-10-06,Gonzaga
372c3587-31c2-4a98-ab75-bec1c2a90e6e,Erik Timko,G,77,200.0,2002-01-31,Delaware
46c67c77-f522-4be0-882f-ef5acdc60776,Luke Goode,F,79,210.0,2002-08-24,Indiana
6098aa53-0dd5-4b8d-a67e-7ff785c1ecbc,Kylor Kelley,C,84,230.0,1997-08-26,Oregon State
738e9b6d-8d4f-4198-b906-d4f5a59cae14,James Reese,G,76,170.0,1998-12-08,South Carolina
7c42b21f-1179-42c8-bba9-15f800d5d7b3,Christian Koloko,C,83,225.0,2000-06-20,Arizona
811813a7-f3cb-4055-b682-9636f2818176,Arthur Kaluma,F,79,225.0,2002-03-01,Texas
8d7a420f-b7f2-4a43-adab-de9bd1681a2c,Jarron Cumberland,G,77,205.0,1997-09-22,Cincinnati
9addd555-9865-41e6-9f63-e03cb78c98f6,Jace Carter,G-F,78,225.0,2003-11-04,Texas A&M
bc293962-9c60-44d5-ba68-76ebfb37a07f,Drew Timme,F,81,235.0,2000-09-09,Gonzaga
e891cdde-5be0-4f5e-9132-59f5431b07b7,Chris Mañon,G,76,209.0,2001-12-09,Vanderbilt
ef264884-3312-4c1e-aa6a-f05653dfa76b,Tevian Jones,G,78,220.0,2000-06-29,Southern Utah
ef599d54-6508-4cb4-b796-dfc9d689e65e,Joirdon Nicholas,F,81,220.0,1999-03-29,Texas Southern
f3efa42e-5d7b-438e-898a-441a1cb950f1,Braxton Meah,C,85,250.0,2000-01-01,Nebraska
f42771be-961c-4401-8048-7ca4611bd5b7,Selton Miguel,G,76,209.0,2000-10-24,Maryland
f972baf8-f857-40aa-956a-7b63aee9c8ce,Cheikh Mbacke Diong,F,83,235.0,1999-12-11,UCF
052a06be-1070-461b-9f5a-9eea0196390f,Pierre Crockrell II,G,72,180.0,2000-01-21,
34bd9c5c-105b-4648-b609-c3c715f793c0,Justice Smith,G-F,78,215.0,2000-01-01,Niagara
37c3c684-d63d-4c00-bcee-0351e210d5a4,James Banks III,C,82,250.0,1998-01-16,Georgia Tech
44854b18-55ab-464a-bf18-ca601b8bca8d,Riley Minix,F,79,230.0,2000-09-22,Morehead State
476af880-e05b-4d97-9c8b-c46f863bf505,Stanley Umude,G,78,210.0,1999-04-12,Arkansas
4d9c6d1d-be63-4bc6-b70f-69e22ede6785,Kyle Mangas,G,76,200.0,1999-04-08,Indiana Wesleyan
5dbccdb7-ed1d-4efa-ab54-f59b2a1276f2,Adam Flagler,G,73,180.0,1999-12-01,Baylor
78f23ef4-e1d9-4f90-a914-de7542f79121,Jamaree Bouyea,G,74,180.0,1999-06-27,San Francisco
906dd7dd-39ef-48dd-bf07-24aaf29f2d5f,Kobe Stewart,G-F,78,180.0,2000-01-01,Presbyterian
a38005b8-a09f-4943-b08c-bab3870a2766,Micah Potter,C,81,248.0,1998-04-06,Wisconsin
ade2b8e1-bd14-4e39-b65f-4b1610ebdb7f,Isaiah Miller,G,72,180.0,1997-11-09,UNC Greensboro
c7fd537e-d8f8-4739-8df6-d7f529beda9f,Osayi Osifo,F,81,230.0,2000-04-06,Florida
c9351cca-c4a6-4f8d-8dd7-52809348cb53,Harrison Ingram,F,77,230.0,2002-11-27,North Carolina
d7b0713c-6c22-4ddf-a1b9-21f65111b755,David Jones-Garcia,F,76,210.0,2001-11-24,Memphis
dbc329fe-76f2-4398-bfc9-1dffd848b410,Jayden Nunn,G,76,190.0,2003-05-07,Baylor
dde9356d-a351-4f0d-933b-83f9602d72e3,Jahmal McMurray,G,72,180.0,1997-02-23,SMU
68df4b78-b4b6-459a-8f8d-26446731141b,Kihei Clark,G,70,167.0,2000-01-25,Virginia
72088ffc-bf13-4fbb-b2fe-8d7500b95bcf,Juan Toscano-Anderson,F,78,209.0,1993-04-10,Marquette
76628217-a914-4813-bc59-7302ce03506b,Rodrigo Dominguez,G,70,,1995-01-01,
9918d5c7-ced3-4a6b-a382-446f13715c67,Felipe Haase,F,81,245.0,1998-03-19,
a246c145-e19b-4781-85aa-3f74007cb3f1,Jaylan Gainey,F,82,230.0,1999-12-12,Florida State
a65af8af-deae-475f-bd5b-72d30f0296fb,Ivan Gandia-Rosa,G,73,193.0,,
163d17b9-7beb-40ef-a847-8c96c27f4bbd,Romeo Weems,F,79,215.0,2001-06-09,DePaul
208913ca-ef1b-4da6-8d28-c016b8cb872a,Caleb Love,G,76,205.0,2001-09-27,Arizona
2d208ca1-6b5e-47eb-ba69-91b924e722d1,Cameron Tyson,G,75,190.0,1999-10-26,Seattle
4721218f-3b63-4260-9006-985c18a35660,Justin Minaya,F,77,205.0,1999-03-26,Providence
488090a7-11c9-4a85-ac0c-cb5219df3afa,Sidy Cissoko,G,78,200.0,2004-04-02,
48f80bb3-0902-429a-ac36-c27cd93fb9aa,Vincent Valerio-Bodon,G-F,81,210.0,2001-05-02,
60157a50-815e-41e6-9b96-a1a174788de1,Javonte Cooke,G,78,185.0,1999-07-11,Winston-Salem State
6a5ff651-62ae-4dcb-9d2f-c190c078d92b,Terquavion Smith,G,76,160.0,2002-12-31,NC State
76da047b-36cf-469d-a694-477565014e38,Jaykwon Walton,G,79,206.0,2001-07-12,Memphis
7aed7e06-3d22-48b8-b777-bc00a4f83a11,Devonte' Graham,G,73,195.0,1995-02-22,Kansas
e8367a1f-359c-47db-8468-ae5effd32af1,Dmytro Skapintsev,C,84,215.0,1998-05-12,
28a68c8e-f3c7-46e7-8b21-c0b6d7c6c093,Jules Bernard,G,78,210.0,2000-01-21,UCLA
38a37db6-e1e5-421a-80b0-8e708458a774,Alize Johnson,F,80,212.0,1996-04-22,Missouri State
3cfa7533-555d-490c-840b-e17a32d23c0e,CJ Fulton,G,75,190.0,2002-06-24,Charleston
4912061c-463a-4de8-905d-91838ddd6dbf,Zyon Pullin,G,76,206.0,2001-03-03,Florida
5c871d29-614a-44cd-8a3f-cc3f76256fd8,Johnny Juzang,G,77,209.0,2001-03-17,UCLA
71cff726-7492-46ad-8dd5-4fb7d30d77a1,Enrique Freeman,F,79,212.0,2000-07-29,Akron
7e640791-4506-45e7-87a0-3da6b4fa282d,Caleb Stone-Carrawell,F,79,220.0,,Loyola Marymount
cf0c8f6b-82b7-4ad4-8a24-41c962268ad9,Martez Brown,G,80,218.0,2000-10-08,
d49bc3d7-fc9c-4e9d-96ab-c4b9830162f3,Donte Ingram,F-G,78,215.0,1996-08-15,Loyola (Chicago)
d8d3943e-f1c1-46ae-937f-1195eb6c554b,Nate Santos,F,79,215.0,2001-11-09,Dayton
e93c89fb-6893-4027-b372-bf8f870d4bd5,Tristen Newton,G,75,192.0,2001-04-26,UConn
f4c76b0e-e8ad-4b55-b040-4e36268356a2,Nojel Eastern,G,78,220.0,1999-05-26,Purdue
f4ed7662-71d7-49b6-97ba-f6db3f13333d,Rocco Zikarsky,C,86,227.0,2006-07-11,
171571f2-e236-46be-91bc-06fe93e4569b,GG Jackson II,F,81,210.0,2004-12-17,South Carolina
1a2af227-d5fc-4319-964a-f86aeaf91a0b,Javon Small,G,73,190.0,2002-12-19,West Virginia
284ad559-7fb8-4e63-811e-fb8277171d01,Mãozinha Pereira,F,80,177.0,2000-08-28,
422d9c3f-d1a9-4502-8af1-20ec5ddd8de0,Kamani Johnson,F,79,230.0,1998-09-03,Arkansas
5abf4edd-de74-48c6-8e1f-cb484a48c9a2,Olivier-Maxence Prosper,F,80,230.0,2002-07-03,Marquette
77cef222-60c8-401c-b926-86f30bf9814a,Armando Bacot,F-C,83,240.0,2000-03-06,North Carolina
80c2a5a3-7742-4cd8-9f0d-d368f3790781,Jordan Minor,F,80,242.0,2000-03-11,
8d6c07da-029b-4d44-af34-0f64c6566564,Evan Gilyard,G,70,170.0,,Kansas City
93456abf-9d46-4afa-a5d7-da628c862656,Tyler Burton,F,79,215.0,2000-02-11,Richmond
97253d40-87db-493b-ac2f-701d31875f90,Race Thompson,F,80,235.0,1999-06-04,Indiana
9e3cbb49-2529-42d3-b3b6-7234f30e6354,PJ Hall,C,82,238.0,2002-02-21,Clemson
b97e66cf-1d9b-4698-958f-497e19246314,Nate Hinton,G-F,77,210.0,1999-06-08,Houston
d3e43286-1845-4691-b62d-1c3a93a8cce3,Lucas Williamson,G,76,205.0,1999-01-28,Loyola Chicago
f4809e97-dd44-4ddc-9c2e-a1171c6e0f31,Cam Spencer,G,76,205.0,2000-04-06,UConn
077d1ae5-a3b1-46f3-b6ce-d7d308e3f260,Patrick Baldwin Jr.,F,84,220.0,2002-11-18,Milwaukee
2138eda0-0317-455b-80ab-3f4b26b025b9,Yauhen Massalski,F-C,81,240.0,1999-03-25,San Francisco
3017dc2d-5d16-40dd-b0a0-d2b952d9dec6,Jordan Lathon,G,77,195.0,2000-02-25,Morehead State
3fd28d36-0620-455c-8108-25d159af6d08,Ileri Ayo-Faleye,F,80,210.0,2000-01-01,Vermont
422c8fb2-cf63-4adf-922e-455d46d6ef2c,John Poulakidas,G,78,205.0,2003-04-04,Yale
434ec5e3-639a-49d8-836a-149a105acb44,Nate Darling,G,77,200.0,1998-08-30,Delaware
449b6231-effb-4e5a-8fe1-5a4bc773327e,Jaelen House,G,72,170.0,2001-05-02,New Mexico State
